definition.description,definition.solution,severity,asset.display_ipv4_address,port,protocol,asset.host_name,definition.cve
CVE-2022-21955: MbedTLS 2.3.1 on Windows Server 2019 ships with a vulnerable TLS stack. An attacker via SQL metacharacter injection in the login form could steal session tokens or credentials. Binaries located at /var/www/html/. Listening on port 636/TCP.,Generate a new CSR and obtain a renewed certificate from Comodo. Update the certificate at /etc/ssh/.,6.7,192.168.2.216,993,TCP,nas-192-168-2-216,
"The SNMP agent running on Windows Server 2022 (version 8.0.3) exposes management data without authentication (CVE-2019-10053). SNMPv1/v2c community strings are transmitted in cleartext, enabling a network attacker to perform man-in-the-middle attacks. Affected service: Cisco IOS SNMP on port 161/UDP.",Upgrade OpenSSL to version 5.2.0 or later. Apply vendor security advisory and restart dependent services.,4.4,172.16.0.227,161,UDP,dc-172-16-0-227,CVE-2019-43729
CVE-2018-37665: Realtek Ethernet driver on Ubuntu 22.04 LTS fails to validate DMA buffer boundaries (version 9.0.0). An attacker can perform man-in-the-middle attacks through a race condition in the kernel scheduler. Driver path: /etc/nginx/; service port 139/TCP.,Restrict DNS zone transfers to authorized secondary servers only. Add 'allow-transfer { <IP>; }' in /usr/lib/ssl/named.conf.,3.4,172.16.1.231,139,TCP,nas-172-16-1-231,
Expired X.509 certificate detected (CVE-2023-97235) on Windows Server 2016. The certificate for mail.corp signed by DigiCert has expired. Service: IIS on port 8443/TCP.,Apply the kernel patch provided in CVE-2022-51321 bulletin. Reboot the system after the update.,5.2,172.16.1.65,8443,TCP,srv-172-16-1-65,
Linux kernel 8.0.3 on Windows 10 Enterprise contains a heap-based buffer overflow (CVE-2021-86692). A local or remote attacker can inject malicious payloads into database queries by abusing a misconfigured SNMP community string. Affected subsystem: network stack. Port: 445/TCP.,"Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",8.5,10.2.14.246,22,TCP,nas-10-2-14-246,
Expired X.509 certificate detected (CVE-2023-77489) on Debian 10 (Buster). The certificate for api.internal signed by DigiCert has expired. Service: Jetty on port 8443/TCP.,Update the Linux kernel to version 3.1.2 or later. Use 'apt-get install linux-image-generic' or equivalent.,5.4,10.1.63.50,443,TCP,web-10-1-63-50,CVE-2023-13735
"Outdated OpenSSL (5.2.0) detected on Fedora 37 (CVE-2022-98083). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to forge authentication tokens. Port 443/TCP; config at /etc/ssh/.",Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,5.4,192.168.10.27,993,TCP,ws-192-168-10-27,CVE-2022-31465
CVE-2020-51831: Lighttpd on Debian 10 (Buster) offers ANON cipher suites. An attacker can read sensitive memory contents by exploiting a use-after-free condition. Listening on port 8080/TCP.,Update IIS to version 8.2.1 which includes SQLi fixes. Enable WAF rules for SQL injection patterns.,6.7,10.2.67.30,443,TCP,ws-10-2-67-30,CVE-2020-42847
CVE-2022-68024: Sudo policy misconfiguration on Fedora 37 (version 3.1.2). An unprivileged user can gain root-level access to the system via the sudo NOPASSWD rule at /etc/openssl/. Port: 22/TCP.,Review and implement all mitigations specified in the vendor bulletin. Update Tomcat to the patched release (2.2.0).,9.3,192.168.2.157,3389,TCP,nas-192-168-2-157,CVE-2022-96356
"Jetty 8.2.1 on Fedora 37 is configured to accept weak cryptographic ciphers (CVE-2020-80275). Supported suites include NULL ciphers, allowing a MITM attacker to enumerate internal network hosts. Config file: /var/www/html/. Port: 8443/TCP.",Apply input validation and output encoding. Use ORM frameworks to prevent raw SQL injection. Review query at /var/www/html/.,6.0,10.2.138.245,443,TCP,nas-10-2-138-245,
CVE-2023-96517: Self-signed or expired TLS certificate on Alpine Linux 3.17 (MbedTLS 8.0.3). Certificate expiry allows attackers to escalate privileges to SYSTEM or root through reflected JavaScript payloads in query parameters. Cert directory: /opt/app/; port 443/TCP.,Replace password authentication with certificate-based auth in /srv/www/. Revoke weak credentials and rotate all service accounts.,5.4,172.16.1.65,8443,TCP,srv-172-16-1-65,
CVE-2022-24519: Sudo policy misconfiguration on Ubuntu 18.04 LTS (version 5.0.1). An unprivileged user can crash the service and trigger a denial of service via the sudo NOPASSWD rule at /usr/share/snmp/. Port: 135/TCP.,Review and implement all mitigations specified in the vendor bulletin. Update Tomcat to the patched release (2.2.0).,7.4,10.1.19.242,135,TCP,db-10-1-19-242,CVE-2022-20641
"CVE-2021-33878: Missing Content-Security-Policy header on Lighttpd 1.0.1 (Windows Server 2016). Without CSP, an attacker can steal session tokens or credentials through reflected JavaScript payloads in query parameters. Web root: /opt/app/; port 80/TCP.",Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,4.6,10.1.162.109,80,TCP,app-10-1-162-109,CVE-2021-73147
CVE-2022-22879: Sudo policy misconfiguration on Windows 11 Pro (version 8.0.3). An unprivileged user can enumerate internal network hosts via the sudo NOPASSWD rule at /etc/snmp/. Port: 22/TCP.,"Deploy a DMZ for internet-facing services. Ensure internal databases and management interfaces are not accessible from the DMZ. Additionally, verify patch 7.",6.7,10.1.225.63,445,TCP,fw-10-1-225-63,
CVE-2022-43361: Time-based SQLi in Tomcat on Ubuntu 22.04 LTS. Unsanitized ORDER BY clause allows an attacker to read sensitive memory contents through a specially crafted packet. Affected app: /etc/mysql/; port 3306/TCP.,Configure Content-Security-Policy in /var/www/html/ to restrict script sources. Add X-Content-Type-Options: nosniff.,9.3,172.16.0.25,443,TCP,fw-172-16-0-25,CVE-2022-79621
"Apache httpd 7.1.0 on Debian 10 (Buster) is configured to accept weak cryptographic ciphers (CVE-2020-33562). Supported suites include NULL ciphers, allowing a MITM attacker to forge authentication tokens. Config file: /var/log/. Port: 443/TCP.","Apply HTML entity encoding to user inputs before rendering in templates. Use 'htmlspecialchars()' or equivalent in the application at C:\Windows\System32\. Additionally, verify patch 37.",5.2,172.16.0.72,443,TCP,dc-172-16-0-72,CVE-2020-63330
"BoringSSL version 5.2.0 on Fedora 37 is affected by CVE-2022-17026. The library implements deprecated TLS 1.1 ciphersuites, allowing an attacker to execute arbitrary code with elevated privileges through reflected JavaScript payloads in query parameters. Affected path: /usr/lib/ssl/. Port: 8443/TCP.",Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,8.6,10.2.130.127,636,TCP,ws-10-2-130-127,
"Net-SNMP version 2.1.4 on Ubuntu 22.04 LTS is affected by CVE-2019-87992. The SNMP community string 'public' is world-readable, allowing an unauthenticated attacker to enumerate internal network hosts via an integer overflow in the parsing routine. Affected configuration: C:\Windows\System32\snmpd.conf. Port: 161/UDP.",Upgrade OpenSSL to version 4.0.0 or later. Apply vendor security advisory and restart dependent services.,6.1,10.2.178.109,162,UDP,fw-10-2-178-109,
CVE-2023-49227: Unpatched zlib 5.0.1 on Debian 12 (Bookworm). Multiple known CVEs affect this version. An attacker can steal session tokens or credentials through improper bounds checking. Port: 80/TCP; installed at C:\Program Files\.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,5.2,10.0.23.56,21,TCP,web-10-0-23-56,CVE-2023-65003
"SUID binary misconfiguration on SUSE Linux Enterprise 15 (CVE-2022-59556). The sudo binary at /etc/openssl/ has incorrect SUID bits, allowing a local user to exfiltrate confidential data from the host via a crafted HTTP request. OS: Alpine Linux 3.17; port 135/TCP.",Review and implement all mitigations specified in the vendor bulletin. Update Tomcat to the patched release (2.2.0).,6.7,192.168.2.41,3389,TCP,dc-192-168-2-41,
"The SNMP agent running on Fedora 36 (version 8.2.1) exposes management data without authentication (CVE-2019-96900). SNMPv1/v2c community strings are transmitted in cleartext, enabling a network attacker to execute arbitrary code with elevated privileges. Affected service: Net-SNMP on port 162/UDP.",Install OpenSSL >= 1.3.7 from the official repository. Recompile applications that statically link the library.,4.3,172.16.0.93,162,UDP,web-172-16-0-93,CVE-2019-14206
CVE-2022-99091: BoringSSL 1.2.3 on CentOS 8 Stream ships with a vulnerable TLS stack. An attacker by sending a malformed TLS ClientHello could bypass authentication controls. Binaries located at /etc/mysql/. Listening on port 993/TCP.,Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,7.6,10.2.67.30,993,TCP,ws-10-2-67-30,CVE-2022-35242
"Stack-based buffer overflow in Windows NT kernel (version 9.0.0) on Windows 10 Enterprise — CVE-2021-21552. The vulnerability exists in the copy_from_user call at /var/lib/mysql/, enabling an attacker to bypass authentication controls.","Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",8.3,192.168.2.41,445,TCP,dc-192-168-2-41,CVE-2021-29600
CVE-2022-18579: Time-based SQLi in Lighttpd on Ubuntu 18.04 LTS. Unsanitized ORDER BY clause allows an attacker to gain root-level access to the system through a race condition in the kernel scheduler. Affected app: /etc/ssh/; port 80/TCP.,Configure Content-Security-Policy in /var/www/html/ to restrict script sources. Add X-Content-Type-Options: nosniff.,7.4,10.0.143.51,80,TCP,nas-10-0-143-51,
Linux kernel 6.0.0 on Windows Server 2022 contains a heap-based buffer overflow (CVE-2021-55943). A local or remote attacker can escalate privileges to SYSTEM or root by exploiting weak entropy in session token generation. Affected subsystem: memory allocator. Port: 23/TCP.,"Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",7.6,10.0.28.238,445,TCP,fw-10-0-28-238,CVE-2021-59639
Weak cipher suite enabled on Fedora 37 running LibreSSL 4.1.3 (CVE-2020-96034). The NULL cipher allows an attacker to escalate privileges to SYSTEM or root by exploiting a use-after-free condition. Port: 443/TCP; config: /etc/openssl/.,Apply HTML entity encoding to user inputs before rendering in templates. Use 'htmlspecialchars()' or equivalent in the application at /etc/mysql/.,5.7,10.2.178.109,8443,TCP,fw-10-2-178-109,
"BoringSSL version 5.2.0 on Debian 11 (Bullseye) is affected by CVE-2022-14541. The library implements deprecated TLS 1.0 ciphersuites, allowing an attacker to enumerate internal network hosts through improper bounds checking. Affected path: /opt/app/. Port: 993/TCP.",Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,6.7,10.1.11.170,636,TCP,web-10-1-11-170,CVE-2022-52245
CVE-2022-33865: NSS 3.4.5 on Fedora 37 ships with a vulnerable TLS stack. An attacker via an integer overflow in the parsing routine could enumerate internal network hosts. Binaries located at /usr/local/bin/. Listening on port 443/TCP.,Generate a new CSR and obtain a renewed certificate from Comodo. Update the certificate at /etc/ssh/.,7.0,172.16.1.81,8443,TCP,ws-172-16-1-81,
"SUID binary misconfiguration on Windows Server 2022 (CVE-2022-39123). The pkexec binary at /var/log/ has incorrect SUID bits, allowing a local user to escalate privileges to SYSTEM or root through a specially crafted packet. OS: Windows Server 2016; port 3389/TCP.",Review and implement all mitigations specified in the vendor bulletin. Update Tomcat to the patched release (2.2.0).,9.6,192.168.10.54,445,TCP,app-192-168-10-54,CVE-2022-40775
CVE-2020-16400: PowerDNS on Fedora 36 is vulnerable to cache poisoning (version 6.0.0). An attacker can bypass authentication controls via SQL metacharacter injection in the login form. Config at /var/lib/mysql/; port 53/UDP.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,6.0,172.16.0.247,53,UDP,web-172-16-0-247,
CVE-2022-99091: BoringSSL 1.2.3 on CentOS 8 Stream ships with a vulnerable TLS stack. An attacker by sending a malformed TLS ClientHello could bypass authentication controls. Binaries located at /etc/mysql/. Listening on port 993/TCP.,Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,6.6,192.168.2.40,443,TCP,web-192-168-2-40,
"SUID binary misconfiguration on Windows Server 2022 (CVE-2022-27427). The pkexec binary at /var/lib/mysql/ has incorrect SUID bits, allowing a local user to crash the service and trigger a denial of service via a heap buffer overflow in the DNS response handler. OS: Ubuntu 18.04 LTS; port 135/TCP.","Segment the network using VLANs to isolate critical systems. Restrict inter-VLAN routing with firewall ACLs. Additionally, verify patch 12.",8.4,172.16.0.57,3389,TCP,dc-172-16-0-57,CVE-2022-94109
Windows NT kernel 4.0.0 on CentOS 7 is affected by a local privilege escalation (CVE-2022-97275). A low-privileged attacker can enumerate internal network hosts via an integer overflow in the parsing routine. Affected path: /opt/app/. Port: 3389/TCP.,Disable and stop unnecessary services: 'systemctl disable --now telnet'. Remove associated packages.,8.4,10.0.28.238,22,TCP,fw-10-0-28-238,CVE-2022-69692
Expired X.509 certificate detected (CVE-2023-77489) on Debian 10 (Buster). The certificate for api.internal signed by DigiCert has expired. Service: Jetty on port 8443/TCP.,Update the Linux kernel to version 1.0.1 or later. Use 'apt-get install linux-image-generic' or equivalent.,5.8,10.2.130.127,8443,TCP,ws-10-2-130-127,CVE-2023-46479
"Jetty 8.2.1 on Fedora 37 is configured to accept weak cryptographic ciphers (CVE-2020-80275). Supported suites include NULL ciphers, allowing a MITM attacker to enumerate internal network hosts. Config file: /var/www/html/. Port: 8443/TCP.",Apply input validation and output encoding. Use ORM frameworks to prevent raw SQL injection. Review query at /var/www/html/.,6.5,10.2.104.125,8080,TCP,dc-10-2-104-125,CVE-2020-19946
"CVE-2022-71619: Template injection leading to RCE in Lighttpd 4.1.3 on Ubuntu 20.04 LTS. Server-side template expressions are evaluated from user input at /var/lib/mysql/, enabling an attacker to forge authentication tokens via SQL metacharacter injection in the login form. Port: 22/TCP.",Replace end-of-life sudo (9.0.0) with the latest maintained version. Update lock files.,9.6,192.168.2.253,80,TCP,ws-192-168-2-253,CVE-2022-10221
Lighttpd 4.1.3 on SUSE Linux Enterprise 15 is affected by a critical RCE vulnerability (CVE-2022-28154). An unauthenticated remote attacker can exfiltrate confidential data from the host by exploiting a use-after-free condition. Vulnerable endpoint: /etc/nginx/. Port: 22/TCP.,Upgrade expat to version 1.0.1 or later using the system package manager.,9.7,192.168.2.253,8080,TCP,ws-192-168-2-253,
"Outdated MbedTLS (1.0.1) detected on Ubuntu 22.04 LTS (CVE-2022-79531). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to bypass authentication controls. Port 993/TCP; config at C:\inetpub\wwwroot\.",Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,6.9,10.1.141.76,443,TCP,print-10-1-141-76,CVE-2022-56357
Weak cipher suite enabled on SUSE Linux Enterprise 15 running LibreSSL 2.2.0 (CVE-2020-82800). The RC4 cipher allows an attacker to exfiltrate confidential data from the host via SQL metacharacter injection in the login form. Port: 443/TCP; config: /etc/mysql/.,Update Nginx to version 2.0.0 which includes SQLi fixes. Enable WAF rules for SQL injection patterns.,5.0,172.16.0.172,443,TCP,fw-172-16-0-172,CVE-2020-18126
"Apache httpd 2.1.4 on Red Hat Enterprise Linux 9 is vulnerable to reflected XSS (CVE-2021-26272). User-controlled input in the q parameter is rendered without encoding, allowing an attacker to forge authentication tokens via SQL metacharacter injection in the login form. Application path: /etc/openssl/. Port: 80/TCP.",Apply the vendor patch for CVE-2022-20008 immediately. Upgrade Lighttpd to version 6.0.0 or later.,6.4,10.0.28.238,443,TCP,fw-10-0-28-238,CVE-2021-65742
CVE-2018-13655: VirtIO network driver on Fedora 36 fails to validate DMA buffer boundaries (version 3.0.0). An attacker can bypass authentication controls through improper bounds checking. Driver path: C:\inetpub\wwwroot\; service port 445/TCP.,Enable DNSSEC signing for all zones. Update BIND/Unbound to version 1.1.0 and apply current security advisories.,4.1,10.2.138.245,135,TCP,nas-10-2-138-245,CVE-2018-37738
"CVE-2022-95047: Template injection leading to RCE in Lighttpd 8.2.1 on Windows Server 2022. Server-side template expressions are evaluated from user input at /etc/mysql/, enabling an attacker to enumerate internal network hosts via a heap buffer overflow in the DNS response handler. Port: 8080/TCP.",Disable the vulnerable endpoint at /etc/snmp/ until the patch is applied. Implement WAF rules to block exploitation attempts.,9.7,172.16.1.231,8080,TCP,nas-172-16-1-231,
End-of-life zlib (3.1.2) installed on Debian 10 (Buster) (CVE-2023-22699). No security patches are available for this version; an attacker can enumerate internal network hosts. Binary path: /etc/ssl/certs/.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,6.1,192.168.1.72,21,TCP,dc-192-168-1-72,CVE-2023-89970
"Stored XSS vulnerability in Lighttpd (1.0.1) on Debian 12 (Bookworm) (CVE-2021-52795). The title field stores unescaped HTML, enabling attackers to modify or delete critical system files. App at /var/lib/mysql/; port 80/TCP.",Apply the vendor patch for CVE-2022-20008 immediately. Upgrade Lighttpd to version 6.0.0 or later.,7.0,192.168.1.40,80,TCP,fw-192-168-1-40,CVE-2021-19921
Expired X.509 certificate detected (CVE-2023-30019) on Red Hat Enterprise Linux 9. The certificate for api.internal signed by internal-ca has expired. Service: Jetty on port 8443/TCP.,Review and restrict sudoers rules in /var/lib/mysql/. Remove NOPASSWD entries for sensitive commands.,5.2,192.168.1.103,8443,TCP,srv-192-168-1-103,CVE-2023-72558
"TLS certificate on Debian 10 (Buster) (Lighttpd 3.1.2) expired on 2020-12-31. CVE-2023-88694: certificate chain validation fails, enabling a MITM attacker to forge authentication tokens. Port: 8443/TCP; cert path: C:\Program Files\.",Review and restrict sudoers rules in /var/lib/mysql/. Remove NOPASSWD entries for sensitive commands.,5.2,10.1.19.242,8443,TCP,db-10-1-19-242,
"TLS certificate on Debian 10 (Buster) (Lighttpd 3.1.2) expired on 2020-12-31. CVE-2023-88694: certificate chain validation fails, enabling a MITM attacker to forge authentication tokens. Port: 8443/TCP; cert path: C:\Program Files\.",Review and restrict sudoers rules in /var/lib/mysql/. Remove NOPASSWD entries for sensitive commands.,4.1,192.168.10.27,8443,TCP,ws-192-168-10-27,
Windows NT kernel 8.2.1 on Oracle Linux 8 is affected by a local privilege escalation (CVE-2022-64462). A low-privileged attacker can modify or delete critical system files through reflected JavaScript payloads in query parameters. Affected path: /var/log/. Port: 3389/TCP.,Remove unused software packages and disable associated xinetd services in C:\Program Files\.,7.1,172.16.1.63,135,TCP,dc-172-16-1-63,CVE-2022-84593
Lighttpd 2.1.4 on Windows 11 Pro is affected by a critical RCE vulnerability (CVE-2022-48455). An unauthenticated remote attacker can read sensitive memory contents via a crafted HTTP request. Vulnerable endpoint: /etc/mysql/. Port: 9090/TCP.,Apply the vendor patch for CVE-2022-10411 immediately. Upgrade IIS to version 1.0.1 or later.,8.8,10.2.130.127,443,TCP,ws-10-2-130-127,
"Tomcat 5.2.0 on Windows Server 2016 is vulnerable to reflected XSS (CVE-2021-26127). User-controlled input in the search parameter is rendered without encoding, allowing an attacker to read sensitive memory contents via a heap buffer overflow in the DNS response handler. Application path: /home/user/.ssh/. Port: 8080/TCP.",Apply the vendor patch for CVE-2022-20008 immediately. Upgrade Lighttpd to version 6.0.0 or later.,6.7,192.168.1.149,8080,TCP,print-192-168-1-149,CVE-2021-82765
CVE-2021-61003: FreeBSD kernel 3.1.2 on Windows Server 2016 is vulnerable to an integer overflow leading to a buffer overwrite. An attacker can read sensitive memory contents through a race condition in the kernel scheduler. Kernel module path: /var/www/html/; exposed via port 445/TCP.,"Configure iptables/nftables to drop inbound traffic on ports 21 from untrusted sources. Additionally, verify patch 18.",7.8,172.16.0.172,23,TCP,fw-172-16-0-172,
CVE-2018-58200: Broadcom WiFi driver on Ubuntu 18.04 LTS fails to validate DMA buffer boundaries (version 9.0.0). An attacker can execute arbitrary code with elevated privileges by exploiting weak entropy in session token generation. Driver path: /var/www/html/; service port 445/TCP.,Enable DNSSEC signing for all zones. Update BIND/Unbound to version 1.1.0 and apply current security advisories.,3.9,10.1.11.170,139,TCP,web-10-1-11-170,CVE-2018-60303
"MbedTLS version 3.4.5 on Fedora 37 is affected by CVE-2022-42816. The library implements deprecated TLS 1.0 ciphersuites, allowing an attacker to crash the service and trigger a denial of service via an integer overflow in the parsing routine. Affected path: /usr/local/bin/. Port: 995/TCP.",Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,9.1,172.16.0.57,8443,TCP,dc-172-16-0-57,
"Stack-based buffer overflow in Windows NT kernel (version 9.0.0) on Windows Server 2016 — CVE-2021-74532. The vulnerability exists in the strncpy call at /opt/app/, enabling an attacker to read sensitive memory contents.","Configure iptables/nftables to drop inbound traffic on ports 21 from untrusted sources. Additionally, verify patch 18.",7.2,172.16.0.230,22,TCP,print-172-16-0-230,CVE-2021-43473
"CVE-2021-96409: DOM-based XSS in Nginx on Ubuntu 18.04 LTS. The window.location.hash is passed to innerHTML without sanitization at /var/log/, allowing an attacker to gain root-level access to the system by sending a malformed TLS ClientHello. Port: 443/TCP.",Apply the vendor patch for CVE-2022-20008 immediately. Upgrade Lighttpd to version 6.0.0 or later.,4.5,10.1.19.242,80,TCP,db-10-1-19-242,
"Outdated VMware VMXNET3 driver (2.0.0) installed on CentOS 8 Stream (CVE-2018-67119). The driver exposes an IOCTL handler with insufficient input validation, allowing a local attacker to enumerate internal network hosts. Path: /var/log/.",Configure Content-Security-Policy in /var/www/html/ to restrict script sources. Add X-Content-Type-Options: nosniff.,4.5,10.0.191.81,445,TCP,srv-10-0-191-81,CVE-2018-23717
"Stack-based buffer overflow in Windows NT kernel (version 3.1.2) on Red Hat Enterprise Linux 8 — CVE-2021-80989. The vulnerability exists in the strncpy call at C:\Program Files\, enabling an attacker to execute arbitrary code with elevated privileges.","Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",7.5,172.16.1.136,22,TCP,app-172-16-1-136,CVE-2021-26149
"Outdated MbedTLS (2.0.0) detected on Red Hat Enterprise Linux 8 (CVE-2022-28643). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to crash the service and trigger a denial of service. Port 443/TCP; config at /etc/openssl/.",Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,7.2,10.2.171.166,993,TCP,app-10-2-171-166,
End-of-life libxml2 (1.3.7) installed on Ubuntu 20.04 LTS (CVE-2023-34150). No security patches are available for this version; an attacker can enumerate internal network hosts. Binary path: /srv/www/.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,3.7,192.168.10.155,22,TCP,app-192-168-10-155,CVE-2023-78146
CVE-2023-52777: Self-signed or expired TLS certificate on Ubuntu 20.04 LTS (NSS 2.2.0). Certificate expiry allows attackers to escalate privileges to SYSTEM or root by abusing a misconfigured SNMP community string. Cert directory: /etc/ssh/; port 8443/TCP.,Apply the kernel patch provided in CVE-2022-51321 bulletin. Reboot the system after the update.,5.7,10.0.149.123,8443,TCP,nas-10-0-149-123,CVE-2023-95196
"Outdated VMware VMXNET3 driver (2.0.0) installed on Oracle Linux 8 (CVE-2018-80882). The driver exposes an IOCTL handler with insufficient input validation, allowing a local attacker to perform man-in-the-middle attacks. Path: /home/user/.ssh/.",Enable DNSSEC signing for all zones. Update BIND/Unbound to version 1.1.0 and apply current security advisories.,6.3,192.168.2.239,139,TCP,ws-192-168-2-239,
End-of-life wget (5.2.0) installed on Debian 12 (Bookworm) (CVE-2023-28333). No security patches are available for this version; an attacker can exfiltrate confidential data from the host. Binary path: C:\inetpub\wwwroot\.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,7.1,192.168.1.184,443,TCP,fw-192-168-1-184,CVE-2023-25257
"IIS 9.0.0 on Windows 11 Pro is configured to accept weak cryptographic ciphers (CVE-2020-91681). Supported suites include DES ciphers, allowing a MITM attacker to inject malicious payloads into database queries. Config file: /var/www/html/. Port: 443/TCP.",Apply input validation and output encoding. Use ORM frameworks to prevent raw SQL injection. Review query at /var/www/html/.,6.1,10.2.104.125,8080,TCP,dc-10-2-104-125,CVE-2020-23459
Weak cipher suite enabled on Windows Server 2016 running NSS 1.1.0 (CVE-2020-22761). The NULL cipher allows an attacker to enumerate internal network hosts by sending a malformed TLS ClientHello. Port: 8080/TCP; config: /var/lib/mysql/.,Apply the kernel patch provided in CVE-2022-51321 bulletin. Reboot the system after the update.,5.4,172.16.1.1,8080,TCP,app-172-16-1-1,
"Blind SQL injection in Jetty (6.0.0) on Windows Server 2022 (CVE-2022-80533). The 'id' query parameter is not parameterized in /etc/apache2/, enabling an attacker to steal session tokens or credentials. Database: MySQL; port 3306/TCP.",Configure Content-Security-Policy in /var/www/html/ to restrict script sources. Add X-Content-Type-Options: nosniff.,7.6,10.2.178.109,8080,TCP,fw-10-2-178-109,CVE-2022-33834
Expired X.509 certificate detected (CVE-2023-63961) on Fedora 36. The certificate for mail.corp signed by Let has expired. Service: Lighttpd on port 8443/TCP.,Apply the kernel patch provided in CVE-2022-97687 bulletin. Reboot the system after the update.,4.1,172.16.0.247,443,TCP,web-172-16-0-247,CVE-2023-24553
CVE-2022-99091: BoringSSL 1.2.3 on CentOS 8 Stream ships with a vulnerable TLS stack. An attacker by sending a malformed TLS ClientHello could bypass authentication controls. Binaries located at /etc/mysql/. Listening on port 993/TCP.,Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,8.8,172.16.1.31,8443,TCP,web-172-16-1-31,
"Blind SQL injection in Apache httpd (1.1.0) on SUSE Linux Enterprise 15 (CVE-2022-45822). The 'order' query parameter is not parameterized in /var/lib/mysql/, enabling an attacker to enumerate internal network hosts. Database: Microsoft SQL Server; port 8080/TCP.",Configure Content-Security-Policy in /var/www/html/ to restrict script sources. Add X-Content-Type-Options: nosniff.,8.5,192.168.1.163,1433,TCP,app-192-168-1-163,
"DNSSEC not configured on Windows Server 2016 running PowerDNS 4.0.0 (CVE-2020-68246). DNS responses are unsigned and can be spoofed, allowing an attacker to read sensitive memory contents. Port: 53/UDP.",Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,4.3,10.0.28.238,53,UDP,fw-10-0-28-238,CVE-2020-49514
Expired X.509 certificate detected (CVE-2023-77489) on Debian 10 (Buster). The certificate for api.internal signed by DigiCert has expired. Service: Jetty on port 8443/TCP.,Apply the kernel patch provided in CVE-2022-53246 bulletin. Reboot the system after the update.,4.0,10.0.28.238,443,TCP,fw-10-0-28-238,CVE-2023-62620
"Stack-based buffer overflow in Windows NT kernel (version 1.3.7) on Oracle Linux 8 — CVE-2021-43776. The vulnerability exists in the strncpy call at C:\Program Files\, enabling an attacker to gain root-level access to the system.","Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",8.0,192.168.10.27,445,TCP,ws-192-168-10-27,CVE-2021-90897
CVE-2023-94555: Unpatched wget 9.0.0 on Windows 11 Pro. Multiple known CVEs affect this version. An attacker can execute arbitrary code with elevated privileges by sending a malformed TLS ClientHello. Port: 443/TCP; installed at C:\Program Files\.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,4.8,192.168.2.208,22,TCP,srv-192-168-2-208,
"Outdated MbedTLS (1.0.1) detected on Windows 11 Pro (CVE-2022-47700). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to enumerate internal network hosts. Port 995/TCP; config at /etc/openssl/.",Set SSLCipherSuite to HIGH:!aNULL:!MD5:!3DES in /etc/nginx/. Verify with 'nmap --script ssl-enum-ciphers'.,7.9,192.168.1.163,995,TCP,app-192-168-1-163,CVE-2022-68529
"CVE-2021-93085: Missing Content-Security-Policy header on IIS 6.0.0 (Windows 11 Pro). Without CSP, an attacker can enumerate internal network hosts through improper bounds checking. Web root: /usr/lib/ssl/; port 8080/TCP.",Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,6.1,10.0.0.86,8080,TCP,db-10-0-0-86,CVE-2021-58214
